count,name,artist_mbid
23,composers,ad79836d-9849-44df-8789-180bbc823f3c
19,classic,ad79836d-9849-44df-8789-180bbc823f3c
10,italian,ad79836d-9849-44df-8789-180bbc823f3c
6,composer,ad79836d-9849-44df-8789-180bbc823f3c
5,vivaldi,ad79836d-9849-44df-8789-180bbc823f3c
4,violin,ad79836d-9849-44df-8789-180bbc823f3c
2,italy,ad79836d-9849-44df-8789-180bbc823f3c
100,symphonic metal,788ad31c-bf0c-4a31-83f8-b8b130d79c76
77,instrumental,788ad31c-bf0c-4a31-83f8-b8b130d79c76
56,metal,788ad31c-bf0c-4a31-83f8-b8b130d79c76
40,finnish,788ad31c-bf0c-4a31-83f8-b8b130d79c76
26,heavy metal,788ad31c-bf0c-4a31-83f8-b8b130d79c76
13,cello metal,788ad31c-bf0c-4a31-83f8-b8b130d79c76
11,cello,788ad31c-bf0c-4a31-83f8-b8b130d79c76
9,rock,788ad31c-bf0c-4a31-83f8-b8b130d79c76
7,cello rock,788ad31c-bf0c-4a31-83f8-b8b130d79c76
6,instrumental metal,788ad31c-bf0c-4a31-83f8-b8b130d79c76
100,baroque,a3546087-fe59-47d3-a3a8-42d58e2573c7
93,classical,a3546087-fe59-47d3-a3a8-42d58e2573c7
38,italian,a3546087-fe59-47d3-a3a8-42d58e2573c7
29,violin,a3546087-fe59-47d3-a3a8-42d58e2573c7
28,composers,a3546087-fe59-47d3-a3a8-42d58e2573c7
9,composer,a3546087-fe59-47d3-a3a8-42d58e2573c7
4,classic,a3546087-fe59-47d3-a3a8-42d58e2573c7
4,early music,a3546087-fe59-47d3-a3a8-42d58e2573c7
4,italian baroque,a3546087-fe59-47d3-a3a8-42d58e2573c7
3,corelli,a3546087-fe59-47d3-a3a8-42d58e2573c7
100,melodic death metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
53,death metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
29,metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
25,female fronted metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
20,swedish,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
6,thrash metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
5,female vocalists,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
4,heavy metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
3,swedish metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
3,gothenburg metal,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd
100,post-hardcore,d570eb4d-557b-41c2-9753-bd4cd08defe7
49,hardcore,d570eb4d-557b-41c2-9753-bd4cd08defe7
44,screamo,d570eb4d-557b-41c2-9753-bd4cd08defe7
39,christian,d570eb4d-557b-41c2-9753-bd4cd08defe7
22,post hardcore,d570eb4d-557b-41c2-9753-bd4cd08defe7
14,indie,d570eb4d-557b-41c2-9753-bd4cd08defe7
12,rock,d570eb4d-557b-41c2-9753-bd4cd08defe7
12,metalcore,d570eb4d-557b-41c2-9753-bd4cd08defe7
11,emocore,d570eb4d-557b-41c2-9753-bd4cd08defe7
10,indie rock,d570eb4d-557b-41c2-9753-bd4cd08defe7
100,metalcore,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
27,hardcore,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
25,metal,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
22,melodic death metal,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
15,christian,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
5,screamo,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
5,christian metalcore,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
4,death metal,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
4,melodic metalcore,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
3,american,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03
100,post-hardcore,9d2fde91-4633-430d-87f0-2b9bbb7fa451
80,metalcore,9d2fde91-4633-430d-87f0-2b9bbb7fa451
51,screamo,9d2fde91-4633-430d-87f0-2b9bbb7fa451
48,electronic,9d2fde91-4633-430d-87f0-2b9bbb7fa451
37,hardcore,9d2fde91-4633-430d-87f0-2b9bbb7fa451
8,trancecore,9d2fde91-4633-430d-87f0-2b9bbb7fa451
6,british,9d2fde91-4633-430d-87f0-2b9bbb7fa451
5,synthcore,9d2fde91-4633-430d-87f0-2b9bbb7fa451
5,metal,9d2fde91-4633-430d-87f0-2b9bbb7fa451
4,emocore,9d2fde91-4633-430d-87f0-2b9bbb7fa451
100,metalcore,5bac9b4f-2f1c-4d39-8d11-231d5b6650ce
32,hardcore,5bac9b4f-2f1c-4d39-8d11-231d5b6650ce
23,christian metalcore,5bac9b4f-2f1c-4d39-8d11-231d5b6650ce
22,christian,5bac9b4f-2f1c-4d39-8d11-231d5b6650ce
17,metal,5bac9b4f-2f1c-4d39-8d11-231d5b6650ce
